1000	500	500	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase1_tmp_openclaw_tail500.txt
144	72	72	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase4_memory_search_signatures.txt
142	71	71	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase4_source_files.txt
142	71	71	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase3_keyword_scan.txt
118	59	59	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase2_workspace_identity.txt
82	41	41	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/postfix_rce/postfix_rce_keyword_scan_targeted.txt
36	18	18	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase1_gateway_log_tail500.txt
28	14	14	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/postfix_obs/postfix_snapshot_listing.txt
26	13	13	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase4_federation_search.txt
24	12	12	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase2_openclaw_status.json
20	10	10	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/postfix_obs/snapshots/20260211T134517Z/status_raw.txt
20	10	10	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/postfix_obs/snapshots/20260211T134517Z/status.json
20	10	10	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/postfix_obs/postfix_status_raw.txt
20	10	10	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/postfix_obs/postfix_status.json
20	10	10	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase5_postfix_status.json
20	10	10	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase2_openclaw_status_parsed.json
18	9	9	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/postfix_core_system2/postfix_core_system2_inventory.txt
18	9	9	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase1_signature_counts_refined.txt
12	6	6	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase4_runtime_observability_logs.txt
12	6	6	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase2_openclaw_config_redacted.json
12	6	6	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/backups/20260211T232324/openclaw.json.bak.redacted
10	5	5	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase5_postfix_log_excerpt.txt
10	5	5	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase1_log_inventory.txt
10	5	5	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase1_failure_signatures.txt
10	5	5	workspace/docs/audits/SYSTEM2-AUDIT-2026-02-11.md
8	4	4	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase2_openclaw_health.json
8	4	4	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase1_runtime_topology.txt
8	4	4	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase1_launchctl_filtered.txt
6	3	3	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase5_postfix_highlights.txt
6	3	3	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase5_openclaw_config_diff.txt
6	3	3	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase5_backup_listing.txt
6	3	3	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase4_core_system2_tree.txt
6	3	3	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase1_tmp_openclaw_inventory.txt
4	2	2	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/postfix_rce/postfix_rce_policy_fields.txt
4	2	2	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/postfix_obs/snapshots/20260211T134517Z/health_raw.txt
4	2	2	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/postfix_obs/snapshots/20260211T134517Z/health.json
4	2	2	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/postfix_obs/postfix_health_raw.txt
4	2	2	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/postfix_obs/postfix_health.json
4	2	2	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase5_postfix_health.json
4	2	2	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase5_before_after_comparison.txt
4	2	2	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase3_security_audit.json
4	2	2	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase3_runtime_state_files.txt
4	2	2	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase3_pairing_help.txt
4	2	2	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase3_nodes_list.json
4	2	2	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase3_approvals_get.json
4	2	2	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase2_status_health_highlights.txt
4	2	2	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase2_openclaw_health_parsed.json
4	2	2	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase2_config_discovery.txt
4	2	2	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase0_repo_state.txt
2	1	1	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/postfix_rce/postfix_rce_posture_stdout.txt
2	1	1	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/postfix_rce/postfix_rce_posture_result.json
2	1	1	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/postfix_rce/postfix_phase0_repo_state.txt
2	1	1	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/postfix_rce/postfix_approvals_get_raw.txt
2	1	1	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/postfix_rce/postfix_approvals_get.json
2	1	1	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/postfix_obs/snapshots/20260211T134517Z/system2_snapshot_event.json
2	1	1	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/postfix_obs/snapshots/20260211T134517Z/manifest.json
2	1	1	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/postfix_obs/snapshots/20260211T134517Z/approvals_get_raw.txt
2	1	1	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/postfix_obs/snapshots/20260211T134517Z/approvals_get.json
2	1	1	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/postfix_obs/postfix_snapshot_stdout.txt
2	1	1	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/postfix_auth/postfix_auth_provider_profile_extract.txt
2	1	1	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase5_postfix_approvals_get.json
2	1	1	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase5_openclaw_config_checksums.txt
2	1	1	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase5_doctor_help.txt
2	1	1	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase5_backup_locations.txt
2	1	1	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase4_system2_observability_artifacts.txt
2	1	1	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase3_system_help.txt
2	1	1	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase3_security_help.txt
2	1	1	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase3_nodes_run_help.txt
2	1	1	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase3_nodes_invoke_help.txt
2	1	1	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase3_nodes_help.txt
2	1	1	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase3_node_run_help.txt
2	1	1	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase3_node_help.txt
2	1	1	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase3_approvals_help.txt
2	1	1	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase3_approvals_get_help.txt
2	1	1	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase3_approvals_allowlist_help.txt
2	1	1	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase2_openclaw_help.txt
2	1	1	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase1_gateway_err_log_tail500.txt
2	1	1	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase1_error_bursts_excerpt.txt
2	1	1	workspace/docs/audits/SYSTEM2-EVIDENCE-2026-02-11/phase0_env_versions.txt
